vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Territorio Luthier Territorio Luthier Blanco 2020|Territorio Luthier Blanco|2020|Ribera del Duero|Territorio Luthier|White|Albillo Mayor, Purulés|41.0|3.0|3.294|1.0||104|4.5|w
Ossian Capitel 2021|Capitel|2021|Castilla y León|Ossian|Verdejo|Verdejo|36.2|3.1574738|2.987014|2.3917017||1450|4.4|w
Remírez de Ganuza Rioja Blanco Reserva 2021|Rioja Blanco Reserva|2021|Rioja|Remírez de Ganuza|Rioja White|Viura|33.5|3.297252|3.943942|1.8596312||520|4.4|w
Abadía Retuerta LeDomaine Blanco de Guarda 2020|LeDomaine Blanco de Guarda|2020|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|37.99|3.1043258|3.2980661|1.6660305||3727|4.3|w
Abadía Retuerta LeDomaine Blanco de Guarda 2019|LeDomaine Blanco de Guarda|2019|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|44.75|3.1043258|3.2980661|1.6660305||3727|4.3|w
Godeval Revival Godello 2022|Revival Godello|2022|Valdeorras|Godeval|Godello|Godello|39.95|4.15|3.2|1.0||357|4.4|w
De Los Abuelos Viñedo Barreiros Godello 2022|Viñedo Barreiros Godello|2022|Bierzo|De Los Abuelos|White|Godello|23.9|3.1944356|3.398912|1.2703347||343|4.4|w
Belondrade Belondrade y Lurton 2022|Belondrade y Lurton|2022|Rueda|Belondrade|Verdejo|Verdejo|45.89|3.0818875|2.642937|2.3951266||15106|4.4|w
Hacienda López de Haro Gran Reserva Classica Blanco 2012|Gran Reserva Classica Blanco|2012|Rioja|Hacienda López de Haro|Rioja White|Viura|48.0|3.3102493|4.450499|1.9740719||267|4.3|w
Bodega Contador (Benjamín Romeo) Pirata 2019|Pirata|2019|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|48.85|3.036887|4.411038|1.8115095||173|4.4|w
Attis Sangarida La Guiana Godello 2021|Sangarida La Guiana Godello|2021|Bierzo|Attis|White|Godello|39.95|3.0|3.0|1.0||146|4.4|w
Bodega Contador (Benjamín Romeo) Qué Bonito Cacareaba Blanco 2020|Qué Bonito Cacareaba Blanco|2020|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|44.4|3.2414784|4.403096|2.0967183||2206|4.3|w
Narupa Vinos Narupa Salicornia Albariño de Costa 2022|Narupa Salicornia Albariño de Costa|2022|Rías Baixas|Narupa Vinos|Albariño|Albariño|21.6|3.456198|1.8269271|2.1762497||142|4.4|w
Bodega Juan Carlos Sancha Cerro La Isa Blanco 2021|Cerro La Isa Blanco|2021|Rioja|Bodega Juan Carlos Sancha|Rioja White|Viura|36.3|3.4095383|4.2842054|1.8697436||136|4.4|w
Telmo Rodriguez Molino Real 2016|Molino Real|2016|Málaga|Telmo Rodriguez|White|Moscatel|49.0|2.35|3.0666666|3.0||828|4.3|w
Bodegas Martín Códax Gallaecia Rias Baixes Albarino 2018|Gallaecia Rias Baixes Albarino|2018|Rías Baixas|Bodegas Martín Códax|Albariño|Albariño|48.0|3.461104|2.3984067|2.130067||682|4.2|w
Bodega Juan Carlos Sancha Cerro La Isa Blanco 2020|Cerro La Isa Blanco|2020|Rioja|Bodega Juan Carlos Sancha|Rioja White|Viura|46.75|3.4095383|4.2842054|1.8697436||136|4.4|w
Caraballas El Sosiego de Finca Las Caraballas 2015|El Sosiego de Finca Las Caraballas|2015|Castilla y León|Caraballas|Chardonnay|Chardonnay|26.26|3.647945|3.85863|1.3124657||58|4.4|w
Bodega Contador (Benjamín Romeo) Qué Bonito Cacareaba Blanco 2022|Qué Bonito Cacareaba Blanco|2022|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|49.49|3.2414784|4.403096|2.0967183||2206|4.3|w
Hika B119 2019|B119|2019|País Vasco|Hika|White|Chardonnay, Hondarrabi Zuri|35.29|3.0|3.0|1.0||57|4.4|w
Luis A. Rodriguez Vazquez Viña de Martin Escolma Ribeiro 2019|Viña de Martin Escolma Ribeiro|2019|Ribeiro|Luis A. Rodriguez Vazquez|White|Albariño, Treixadura, Lado, Torrontés|42.9|3.3235354|3.411212|1.160404||1497|4.3|w
Francisco Garcia Perez Adega do Moucho Treixadura 2018|Adega do Moucho Treixadura|2018|Ribeiro|Francisco Garcia Perez|White|Treixadura|49.0|3.2882354|2.7117646|1.4882352||427|4.4|w
Bodega Otazu Pago de Otazu Chardonnay Con Crianza 2021|Pago de Otazu Chardonnay Con Crianza|2021|Otazu|Bodega Otazu|Chardonnay|Chardonnay|30.5|3.293277|3.4316049|1.9019932||1203|4.3|w
Cantalapiedra Viticultores Majuelo La Otea Pie Franco 2017|Majuelo La Otea Pie Franco|2017|Castilla y León|Cantalapiedra Viticultores|Verdejo|Verdejo|42.15|3.7579844|2.7295008|1.874242||287|4.4|w
Narupa Vinos Narupa Salicornia Albariño de Costa 2018|Narupa Salicornia Albariño de Costa|2018|Rías Baixas|Narupa Vinos|Albariño|Albariño|20.9|3.456198|1.8269271|2.1762497||142|4.4|w
Ossian Viñas Viejas Verdejo 2016|Viñas Viejas Verdejo|2016|Castilla y León|Ossian|Verdejo|Verdejo|49.0|3.2549427|2.7215953|2.4112806||10290|4.2|w
Ossian Viñas Viejas Verdejo 2020|Viñas Viejas Verdejo|2020|Castilla y León|Ossian|Verdejo|Verdejo|32.5|3.2549427|2.7215953|2.4112806||10290|4.2|w
Telmo Rodriguez Molino Real 2020|Molino Real|2020|Málaga|Telmo Rodriguez|White|Moscatel|44.59|2.35|3.0666666|3.0||828|4.3|w
Scala Dei Massipa de Scala Dei Garnatxa Blanca - Xenin 2022|Massipa de Scala Dei Garnatxa Blanca - Xenin|2022|Priorat|Scala Dei|White|Garnacha Blanca, Chenin Blanc|40.33|3.2040002|3.12|1.168||719|4.3|w
Casal de Armán Finca Misenhora Edición Limitada 2021|Finca Misenhora Edición Limitada|2021|Ribeiro|Casal de Armán|White|Albariño, Godello, Treixadura|27.5|2.8034616|3.5264103|1.6011539||705|4.3|w
Pazo Barrantes Gran Vino Albariño 2020|Gran Vino Albariño|2020|Rías Baixas|Pazo Barrantes|Albariño|Albariño|39.5|3.5268948|1.9220788|2.5397902||2804|4.4|w
Casal de Armán Finca Os Loureiros Edición Limitada 2022|Finca Os Loureiros Edición Limitada|2022|Ribeiro|Casal de Armán|White|Loureiro, Treixadura|27.59|2.7123199|3.06784|1.1449599||526|4.3|w
Casal de Armán Finca Os Loureiros Edición Limitada 2021|Finca Os Loureiros Edición Limitada|2021|Ribeiro|Casal de Armán|White|Loureiro, Treixadura|27.95|2.7123199|3.06784|1.1449599||526|4.3|w
Bodegas Mas Alta La Solana Alta 2021|La Solana Alta|2021|Priorat|Bodegas Mas Alta|Grenache Blanc|Grenache Blanc|47.65|3.2316322|3.0889049|2.421384||514|4.3|w
Ossian Viñas Viejas Verdejo 2017|Viñas Viejas Verdejo|2017|Castilla y León|Ossian|Verdejo|Verdejo|42.0|3.2549427|2.7215953|2.4112806||10290|4.2|w
Abadía Retuerta LeDomaine Blanco de Guarda 2018|LeDomaine Blanco de Guarda|2018|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|39.4|3.1043258|3.2980661|1.6660305||3727|4.3|w
Terras Mancas Blanco 2023|Blanco|2023|Vino de España|Terras Mancas|White|Albariño, Loureiro, Godello, Treixadura|10.74|2.7259092|2.4089775|1.84625||379|4.3|w
Abadía Retuerta LeDomaine Blanco de Guarda 2021|LeDomaine Blanco de Guarda|2021|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|37.85|3.1043258|3.2980661|1.6660305||3727|4.3|w
Muga Flor de Muga Blanco 2019|Flor de Muga Blanco|2019|Rioja|Muga|Rioja White|Viura|30.5|3.2863216|4.227277|1.8819903||703|4.2|w
Bodega Sommos Coleccion Chardonnay 2022|Coleccion Chardonnay|2022|Somontano|Bodega Sommos|Chardonnay|Chardonnay|28.4|2.74253|3.255|1.4120481||288|4.3|w
Menade Sobrenatural de Menade Verdejo Natural 2018|Sobrenatural de Menade Verdejo Natural|2018|Castilla y León|Menade|Verdejo|Verdejo|49.49|3.0299263|3.246305|1.8848162||275|4.3|w
Mixtura Blanco 2020|Blanco|2020|Galicia|Mixtura|White|Treixadura, Albariño|31.9|3.0996242|3.0|1.0318798||274|4.3|w
Mar de Frades Finca Valiñas 2017|Finca Valiñas|2017|Rías Baixas|Mar de Frades|Albariño|Albariño|25.72|3.7232082|1.8825656|1.474119||1623|4.1|w
José Pariente Finca Las Comas Verdejo 2021|Finca Las Comas Verdejo|2021|Rueda|José Pariente|Verdejo|Verdejo|39.9|3.312234|3.1925132|2.1037176||255|4.3|w
José Pariente Finca Las Comas Verdejo 2020|Finca Las Comas Verdejo|2020|Rueda|José Pariente|Verdejo|Verdejo|40.0|3.312234|3.1925132|2.1037176||255|4.3|w
Forjas del Salnés Leirana Ma Luisa Lázaro Albariño 2019|Leirana Ma Luisa Lázaro Albariño|2019|Rías Baixas|Forjas del Salnés|Albariño|Albariño|44.8|3.7385058|2.2365384|1.629571||246|4.3|w
Abadia da Cova Loia 2023|Loia|2023|Ribeira Sacra|Abadia da Cova|White|Godello, Albariño|19.5|3.1020002|2.8620002|1.0||227|4.3|w
Bodegas Frontonio La Loma & Los Santos Garnacha Blanca - Macabeo 2021|La Loma & Los Santos Garnacha Blanca - Macabeo|2021|Valdejalón|Bodegas Frontonio|White|Macabeo, Garnacha Blanca|41.5|3.2528925|3.358595|1.8132231||221|4.3|w
Tobia Óscar Tobía Reserva Rioja Blanco 2017|Óscar Tobía Reserva Rioja Blanco|2017|Rioja|Tobia|Rioja White|Viura|22.5|3.3017287|4.247648|1.7623743||888|4.2|w
Oxer Wines Marko Terlegiz 2022|Marko Terlegiz|2022|Bizkaiko Txakolina|Oxer Wines|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|47.9|4.8808274|2.6314285|1.9856391||205|4.3|w
Bodegas Mauro Godello Blanco 2021|Godello Blanco|2021|Bierzo|Bodegas Mauro|White|Godello|42.2|3.6349998|2.735|1.5858334||1672|4.2|w
Noelia Bebelia Albariño 2019|Albariño|2019|Rías Baixas|Noelia Bebelia|Albariño|Albariño|16.45|3.507015|2.2738404|1.9872179||1113|4.1|w
Abadía Retuerta LeDomaine Blanco de Guarda 2022|LeDomaine Blanco de Guarda|2022|Abadía Retuerta|Abadía Retuerta|White|Sauvignon Blanc, Verdejo|37.9|3.1043258|3.2980661|1.6660305||3727|4.3|w
Conreria d'Scala Dei Primera Vinya Les Brugueres Blanco 2021|Primera Vinya Les Brugueres Blanco|2021|Priorat|Conreria d'Scala Dei|Grenache Blanc|Grenache Blanc|30.0|3.1477404|3.117308|2.4933171||159|4.3|w
Bodegas Martín Códax Finca Xieles Albariño 2022|Finca Xieles Albariño|2022|Rías Baixas|Bodegas Martín Códax|Albariño|Albariño|39.9|3.5534017|2.6051214|1.5981495||158|4.3|w
Azpilicueta Colección Privada Blanco 2020|Colección Privada Blanco|2020|Rioja|Azpilicueta|Rioja White|Viura|27.95|3.1211739|4.1732073|1.7133437||2029|4.0|w
Bodegas El Paraguas Atlántico 2022|Atlántico|2022|Ribeiro|Bodegas El Paraguas|White|Treixadura, Godello, Albariño|20.9|3.3994846|3.1446667|1.1540909||2219|4.2|w
Paco & Lola Heritage Albariño 2019|Heritage Albariño|2019|Rías Baixas|Paco & Lola|Albariño|Albariño|30.0|3.1478376|2.516937|1.9795495||118|4.3|w
Territorio Luthier Hispania Blanco 2021|Hispania Blanco|2021|Ribera del Duero|Territorio Luthier|White|Albillo Mayor, Pirulés, Viura, Malvasía|33.0|3.0|3.43|1.0||115|4.3|w
Territorio Luthier Hispania Blanco 2022|Hispania Blanco|2022|Ribera del Duero|Territorio Luthier|White|Albillo Mayor, Pirulés, Viura, Malvasía|33.0|3.0|3.43|1.0||115|4.3|w
O Morto Wines Godello 2021|Godello|2021|Ribeiro|O Morto Wines|Godello|Godello|29.0|4.0|3.0|1.0||114|4.3|w
Mas d'en Gil Coma Blanca Priorat 2017|Coma Blanca Priorat|2017|Priorat|Mas d'en Gil|White|Garnacha Blanca, Macabeo|44.89|3.2470002|3.164|1.102||816|4.1|w
Menade Sobrenatural de Menade Verdejo Natural 2016|Sobrenatural de Menade Verdejo Natural|2016|Castilla y León|Menade|Verdejo|Verdejo|48.45|3.0299263|3.246305|1.8848162||275|4.3|w
Bodega Tamerán Malvasia Volcanica 2020|Malvasia Volcanica|2020|Gran Canaria|Bodega Tamerán|White|Malvasía|29.7|4.4136896|2.5501604|1.7722994||278|4.3|w
Pazo Barrantes Gran Vino Albariño 2021|Gran Vino Albariño|2021|Rías Baixas|Pazo Barrantes|Albariño|Albariño|37.97|3.5268948|1.9220788|2.5397902||2804|4.4|w
Pazo Señorans Seleccion de Añada Albariño Rías Baixas 2014|Seleccion de Añada Albariño Rías Baixas|2014|Rías Baixas|Pazo Señorans|Albariño|Albariño|49.49|3.5504503|1.9207377|1.7335123||5368|4.3|w
Paco & Lola Heritage Albariño 2018|Heritage Albariño|2018|Rías Baixas|Paco & Lola|Albariño|Albariño|26.64|3.1478376|2.516937|1.9795495||118|4.3|w
Mas Geli Solista No 7 Subirat Parent 2022|Solista No 7 Subirat Parent|2022|Empordà|Mas Geli|White|Subirat Parent|18.0|3.0038657|2.9690757|1.085042||83|4.3|w
Mas Geli Solista No 7 Subirat Parent 2021|Solista No 7 Subirat Parent|2021|Empordà|Mas Geli|White|Subirat Parent|20.5|3.0038657|2.9690757|1.085042||83|4.3|w
Lagar de Sabariz A Pita Cega 2016|A Pita Cega|2016|Galicia|Lagar de Sabariz|White|Treixadura, Albariño, Godello|49.65|3.1543157|3.089579|1.0745263||323|4.2|w
Godeval Revival Godello 2021|Revival Godello|2021|Valdeorras|Godeval|Godello|Godello|46.35|4.15|3.2|1.0||357|4.4|w
Aalto Blanco de Parcela 2022|Blanco de Parcela|2022|Castilla y León|Aalto|Verdejo|Verdejo|44.4|3.447092|2.8572106|2.1542432||520|4.2|w
Tresmano - Tr3smano Albillo Mayor 2021|Albillo Mayor|2021|Ribera del Duero|Tresmano - Tr3smano|White|Abillo Mayor|37.5|3.0945945|3.0472972|2.3875675||73|4.3|w
Bodega Sommos Coleccion Chardonnay 2020|Coleccion Chardonnay|2020|Somontano|Bodega Sommos|Chardonnay|Chardonnay|28.9|2.74253|3.255|1.4120481||288|4.3|w
Ordóñez Nisia Las Suertes Verdejo Old Vines 2022|Nisia Las Suertes Verdejo Old Vines|2022|Rueda|Ordóñez|Verdejo|Verdejo|21.5|3.2734354|2.32809|2.223188||1213|4.2|w
Bodega Tamerán Malvasia Volcanica 2021|Malvasia Volcanica|2021|Gran Canaria|Bodega Tamerán|White|Malvasía|35.64|4.4136896|2.5501604|1.7722994||278|4.3|w
Bodegas Javier San Pedro Ortega Viuda Negra Villahuercos 2020|Viuda Negra Villahuercos|2020|Rioja|Bodegas Javier San Pedro Ortega|Rioja White|Viura|34.9|3.2476673|4.153705|1.7275815||449|4.2|w
Telmo Rodriguez Molino Real 2014|Molino Real|2014|Málaga|Telmo Rodriguez|White|Moscatel|42.0|2.35|3.0666666|3.0||828|4.3|w
Mustiguillo Margas Finca Calvestra Merseguera 2017|Margas Finca Calvestra Merseguera|2017|Valencia|Mustiguillo|White|Merseguera|43.0|3.0|3.0|1.0||53|4.3|w
Mustiguillo Margas Finca Calvestra Merseguera 2019|Margas Finca Calvestra Merseguera|2019|Valencia|Mustiguillo|White|Merseguera|47.5|3.0|3.0|1.0||53|4.3|w
Do Ferreiro (Bodegas Gerardo Mendez) Cepas Vellas Rias Baixas Albariño 2022|Cepas Vellas Rias Baixas Albariño|2022|Rías Baixas|Do Ferreiro (Bodegas Gerardo Mendez)|Albariño|Albariño|39.0|3.5982127|1.996619|1.7168016||2124|4.3|w
Bodegas Mas Alta La Galera 2019|La Galera|2019|Priorat|Bodegas Mas Alta|White|Garnacha Blanca, Chenin Blanc|46.5|3.0166388|3.0831933|2.597311||58|4.3|w
Gómez Cruzado Montes Obarenes Selección Terroir 2021|Montes Obarenes Selección Terroir|2021|Rioja|Gómez Cruzado|Rioja White|Viura|42.5|3.2361434|4.326553|2.0172837||1230|4.3|w
Bodegas San Román Malvasia 2019|Malvasia|2019|Castilla|Bodegas San Román|White|Malvasía|42.53|2.2010205|3.0|1.2012244||342|4.2|w
Territorio Luthier Clarete de Guarda 2020|Clarete de Guarda|2020|Ribera del Duero|Territorio Luthier|White|Tempranillo, Garnacha, Albillo Mayor|38.0|3.0|3.0|1.0||43|4.3|w
Pazo Señorans Tras Los Muros Albariño 2020|Tras Los Muros Albariño|2020|Rías Baixas|Pazo Señorans|Albariño|Albariño|39.9|3.6630597|2.4080389|1.9847149||218|4.3|w
Mas d'en Gil Coma Blanca Priorat 2018|Coma Blanca Priorat|2018|Priorat|Mas d'en Gil|White|Garnacha Blanca, Macabeo|43.0|3.2470002|3.164|1.102||816|4.1|w
Pepe Mendoza Casa Agrícola Moscatel Origen 2019|Moscatel Origen|2019|Alicante|Pepe Mendoza Casa Agrícola|White|Moscatel|28.0|2.7040815|3.047347|2.722245||39|4.3|w
Pittacum La Maragata Godello Blanco de Guarda 2019|La Maragata Godello Blanco de Guarda|2019|Bierzo|Pittacum|White|Godello|45.0|3.0979364|3.214762|2.4526982||38|4.3|w
Jesus Madrazo Ermita de San Gregorio Blanco Reserva 2020|Ermita de San Gregorio Blanco Reserva|2020|Rioja|Jesus Madrazo|Rioja White|Viura|22.7|3.0|3.75|2.25||50|4.4|w
Pazo de Rubianes 1411 Albariño 2020|1411 Albariño|2020|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|31.1|3.5703623|2.0810766|1.7212526||568|4.4|w
Quinta da Muradella Origen-02 2015|Origen-02|2015|Monterrei|Quinta da Muradella|White|Bastardo, Doña Blanca, Rufete, Torrontés, Treixadura, Verdelho, Altres|31.1|3.4199996|3.2050004|1.405||43|4.2|w
Cillar de Silos Dominio del Pidio Albillo 2022|Dominio del Pidio Albillo|2022|Ribera del Duero|Cillar de Silos|White|Albillo Mayor|45.25|3.7|3.4|1.1466668||557|4.3|w
Masos Mas de La Mona Chardonnay 2022|Mas de La Mona Chardonnay|2022|Alicante|Masos|Chardonnay|Chardonnay|27.85|2.789|3.1336665|1.5523334||34|4.3|w
Can Ràfols dels Caus El Rocallís 2019|El Rocallís|2019|Catalunya|Can Ràfols dels Caus|White|Incrocio Manzoni|44.0|3.0|2.911712|1.688919||1072|4.2|w
Bernardo Estévez Chánselus Castes Brancas 2021|Chánselus Castes Brancas|2021|Ribeiro|Bernardo Estévez|White|Albillo, Godello, Lado, Loureira Blanca, Treixadura, Verdelho|31.9|3.2914286|3.5664284|1.8078572||515|4.3|w
Losada Godello 2023|Godello|2023|Bierzo|Losada|White|Godello|15.45|3.6902013|3.2967818|1.4329885||2051|4.1|w
Bodega Campo Eliseo Campo Eliseo Blanco 2020|Campo Eliseo Blanco|2020|Rueda|Bodega Campo Eliseo|Verdejo|Verdejo|25.13|3.3148446|2.7488446|2.1853778||370|4.2|w
A Coroa 200 Cestos Godello 2022|200 Cestos Godello|2022|Valdeorras|A Coroa|Godello|Godello|28.28|3.9839535|3.0962791|1.0||767|4.2|w
Luzon Mina de Oro Viognier 2022|Mina de Oro Viognier|2022|Jumilla|Luzon|White|Viognier|17.16|3.0|3.0|1.0||202|4.1|w
Avancia Godello 2023|Godello|2023|Valdeorras|Avancia|Godello|Godello|29.2|3.5766668|3.0033333|1.5533333||3819|4.2|w
Mar de Frades Albariño Atlantico 2022|Albariño Atlantico|2022|Rías Baixas|Mar de Frades|Albariño|Albariño|16.9|3.7385323|1.8133229|1.534351||40098|4.1|w
Clos Mogador Nelin 2021|Nelin|2021|Priorat|Clos Mogador|White|Garnacha Blanca, Macabeo|45.8|3.1139998|3.2985492|1.1274903||3087|4.2|w
Pazo de Rubianes Albariño 2023|Albariño|2023|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|16.2|3.7205129|2.2530751|1.7215718||2620|4.2|w
Bodegas El Paraguas Atlántico 2023|Atlántico|2023|Ribeiro|Bodegas El Paraguas|White|Treixadura, Godello, Albariño|21.6|3.3994846|3.1446667|1.1540909||2219|4.2|w
Valdesil Pezas da Portela Godello 2022|Pezas da Portela Godello|2022|Valdeorras|Valdesil|Godello|Godello|35.0|3.7492683|2.9590244|1.3219513||2024|4.2|w
Tomás Postigo Fermentado En Barrica Blanco 2022|Fermentado En Barrica Blanco|2022|Castilla y León|Tomás Postigo|Verdejo|Verdejo|31.5|3.2316005|2.8463092|2.3458624||1951|4.2|w
Shaya Habis 2021|Habis|2021|Rueda|Shaya|Verdejo|Verdejo|23.55|3.240296|2.6643114|2.3401299||1343|4.2|w
Adega Familiar Eladio Piñeiro Frore de Carme 2018|Frore de Carme|2018|Rías Baixas|Adega Familiar Eladio Piñeiro|Albariño|Albariño|46.15|3.6612031|2.4863567|1.996988||1253|4.2|w
Ossian Viñas Viejas Verdejo 2018|Viñas Viejas Verdejo|2018|Castilla y León|Ossian|Verdejo|Verdejo|36.0|3.2549427|2.7215953|2.4112806||10290|4.2|w
La Caña Navia Albarino 2021|Navia Albarino|2021|Rías Baixas|La Caña|Albariño|Albariño|23.47|3.62729|1.9664226|1.6711452||1110|4.2|w
La Caña Navia Albarino 2022|Navia Albarino|2022|Rías Baixas|La Caña|Albariño|Albariño|23.45|3.62729|1.9664226|1.6711452||1110|4.2|w
Can Ràfols dels Caus El Rocallís 2021|El Rocallís|2021|Catalunya|Can Ràfols dels Caus|White|Incrocio Manzoni|42.2|3.0|2.911712|1.688919||1072|4.2|w
Enate Chardonnay Fermentado en Barrica 2021|Chardonnay Fermentado en Barrica|2021|Somontano|Enate|Chardonnay|Chardonnay|20.92|3.1135397|3.3608634|1.6049712||6776|4.2|w
Luis A. Rodriguez Vazquez A Teixa Ribeiro 2020|A Teixa Ribeiro|2020|Ribeiro|Luis A. Rodriguez Vazquez|White|Treixadura|29.79|3.0|3.0|1.0||815|4.2|w
Muga Flor de Muga Blanco 2021|Flor de Muga Blanco|2021|Rioja|Muga|Rioja White|Viura|36.0|3.2863216|4.227277|1.8819903||703|4.2|w
Viñedos y Bodegas Muñoz Blas Muñoz Chardonnay 2021|Blas Muñoz Chardonnay|2021|Castilla|Viñedos y Bodegas Muñoz|Chardonnay|Chardonnay|36.25|3.2169237|3.4211917|2.0002534||4859|4.2|w
Attis Embaixador Albariño 2021|Embaixador Albariño|2021|Rías Baixas|Attis|Albariño|Albariño|38.54|3.6774487|2.345378|1.7272767||674|4.2|w
Albamar Pepe Luis 2022|Pepe Luis|2022|Galicia|Albamar|Albariño|Albariño|39.9|3.7673712|2.4283738|1.4509542||657|4.2|w
Fefiñanes Albariño de Fefiñanes 2022|Albariño de Fefiñanes|2022|Rías Baixas|Fefiñanes|Albariño|Albariño|18.5|3.6783624|1.6924498|1.5231864||13110|4.1|w
Oxer Wines Iraun Rioja 2023|Iraun Rioja|2023|Rioja|Oxer Wines|Rioja White|Viura|32.9|3.0479789|4.15439|1.7152631||576|4.2|w
Castell d'Encus Ekam Essència 2021|Ekam Essència|2021|Costers del Segre|Castell d'Encus|White|Riesling|47.95|3.2112677|2.700845|1.7622535||554|4.2|w
Pazo de Rubianes Albariño 2021|Albariño|2021|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|16.5|3.7205129|2.2530751|1.7215718||2620|4.2|w
El Grillo y La Luna Canto del Grillo Cri, Cri 2022|Canto del Grillo Cri, Cri|2022|Aragón|El Grillo y La Luna|Chardonnay|Chardonnay|28.15|3.1890924|3.4797294|1.8903283||492|4.2|w
Ramón do Casar Godello 2023|Godello|2023|Ribeiro|Ramón do Casar|Godello|Godello|14.9|3.7307692|2.8897438|1.1589744||472|4.2|w
Celler Massis de l'Albera Les Tortugues Garnatxa Roja 2023|Les Tortugues Garnatxa Roja|2023|Empordà|Celler Massis de l'Albera|White|Garnacha Roja|16.49|3.3182259|3.144908|2.0574884||469|4.2|w
R. López de Heredia Viña Gravonia 2015|Viña Gravonia|2015|Rioja Alta|R. López de Heredia|Rioja White|Viura|48.5|3.257773|4.3538647|2.0030189||9627|4.2|w
Mar de Frades Finca Valiñas 2015|Finca Valiñas|2015|Rías Baixas|Mar de Frades|Albariño|Albariño|30.9|3.7232082|1.8825656|1.474119||1623|4.1|w
Lagravera Cíclic Blanc 2022|Cíclic Blanc|2022|Costers del Segre|Lagravera|White|Garnacha Blanca|22.9|3.3100657|2.832171|1.1242763||439|4.2|w
Dominio do Bibei Lapola 2020|Lapola|2020|Ribeira Sacra|Dominio do Bibei|White|Albariño, Doña Blanca, Treixadura|25.12|3.595283|3.4667506|1.8151153||4092|4.1|w
Yllera Meraldis Vinificación Integral Verdejo 2021|Meraldis Vinificación Integral Verdejo|2021|Rueda|Yllera|Verdejo|Verdejo|21.8|3.3731375|2.760632|1.9396389||383|4.2|w
Pago de Los Capellanes O Luar do Sil Valdeorras Godello 2023|O Luar do Sil Valdeorras Godello|2023|Valdeorras|Pago de Los Capellanes|Godello|Godello|12.9|3.20965|3.171751|1.5554085||10661|4.1|w
Bodegas San Román Malvasia 2022|Malvasia|2022|Castilla|Bodegas San Román|White|Malvasía|38.7|2.2010205|3.0|1.2012244||342|4.2|w
Dominio do Bibei Lapola 2018|Lapola|2018|Ribeira Sacra|Dominio do Bibei|White|Albariño, Doña Blanca, Treixadura|18.75|3.595283|3.4667506|1.8151153||4092|4.1|w
Ossian Viñas Viejas Verdejo 2021|Viñas Viejas Verdejo|2021|Castilla y León|Ossian|Verdejo|Verdejo|31.31|3.2549427|2.7215953|2.4112806||10290|4.2|w
Vinessens - Casa Balaguer Salicornio Malvasía 2022|Salicornio Malvasía|2022|Alicante|Vinessens - Casa Balaguer|White|Malvasía|15.95|3.0|2.8925002|1.15||305|4.2|w
Vinessens - Casa Balaguer Salicornio Malvasía 2023|Salicornio Malvasía|2023|Alicante|Vinessens - Casa Balaguer|White|Malvasía|15.95|3.0|2.8925002|1.15||305|4.2|w
Familia Torres San Valentín Parellada 2023|San Valentín Parellada|2023|Catalunya|Familia Torres|White|Parellada|7.28|2.6144068|2.9211864|2.7385685||25894|4.2|w
Pazo de Rubianes García Caamaño Albariño 2021|García Caamaño Albariño|2021|Rías Baixas|Pazo de Rubianes|Albariño|Albariño|29.95|3.6001437|2.2420323|1.7083453||287|4.2|w
Suertes del Marqués Trenzado 2021|Trenzado|2021|Valle de la Orotava|Suertes del Marqués|White|Listan Blanco, Pedro Ximénez, Vidueño|20.75|4.448549|2.169579|1.8752257||3476|3.9|w
Bodegas El Paraguas La Sombrilla 2021|La Sombrilla|2021|Ribeiro|Bodegas El Paraguas|White|Treixadura, Albariño|39.5|2.7793102|3.489655|1.1310345||283|4.2|w
Vulcano de Lanzarote Malvasía Volcánica Seco 2022|Malvasía Volcánica Seco|2022|Lanzarote|Vulcano de Lanzarote|White|Malvasía|27.95|4.1521416|2.35701|1.882406||2153|4.1|w
Pago de Vallegarcía Vallegarcia Viognier 2020|Vallegarcia Viognier|2020|Castilla|Pago de Vallegarcía|White|Viognier|22.2|3.171743|3.4686236|1.6909633||2454|4.1|w
Gramona Gessamí 2023|Gessamí|2023|Penedès|Gramona|White|Gewürztraminer, Moscatel de Alejandría, Moscatel de Frontignon, Sauvignon Blanc|12.5|2.5850842|2.4607477|2.3153832||13355|4.1|w
Matsu La Jefa 2020|La Jefa|2020|Toro|Matsu|White|Malvasía|24.25|2.7828252|3.0473542|1.5161883||1026|4.2|w
